"city","time","humidity","pressure_mb","temp","wind_dir","wind_speed"
"kolhapur","2025-05-01T15:47:32.411367","51","1009","27.8","W","7.4"
"Hyderabad","2025-05-01T15:47:32.315119","52","1010","31.1","SSE","15.4"
"Kerela","2025-05-01T15:47:32.216114","75","1010","24.4","WNW","2.2"
"Kochi","2025-05-01T15:47:32.121502","89","1010","29.1","SSE","3.6"
"Dehradun","2025-05-01T15:47:32.017312","47","1011","23.1","NNE","8.9"
"Kashmir","2025-05-01T15:47:31.922972","8","999","39.8","SW","12.1"
"Chennai","2025-05-01T15:47:31.817807","79","1007","31.1","SSE","12.8"
"Mumbai","2025-05-01T15:47:31.717862","75","1008","30.1","NW","8.9"
"Delhi","2025-05-01T15:47:31.615584","59","1015","11.7","ESE","15.2"
"Bangalore","2025-05-01T15:47:31.345677","61","1015","25.3","SSE","9.2"
